sample_id,review_text,annotator_1_label,annotator_2_label,adjudicated_label,notes
SA-011,"Văn hóa khác với nhiều công ty . Có các campus riêng, không như nhiều cty hiện nay chọn giải pháp thuê mặt bằng của các building, Fsoft xây dựng những campus riêng cho mình . Nên tuân thủ luật về Bảo Hiểm, Fsoft HCM nằm trong khu công nghệ cao nên hơi khó kiếm các quán ăn, phụ cấp cho việc ăn chưa thấp.
Chỉ được record sau 6PM, khi OT việc record được tính bằng thời gian quẹt thẻ trên hệ thông, không tính thời gian đi vệ sinh :D",,,,
SA-012,"Môi trường làm việc thoải mái . Môi trường làm việc thoải mái, mọi người thân thiện, cởi mở. . Nên áp dụng nhiều phúc lợi khác ngoài lương.
Working time more flexible.",,,,
SA-013,"OT nhiều, lương cực thấp, bóc lột . Có bãi giữ xe rộng, có mì buổi chiều, có pantry để ăn cơm trưa . OT nhiều, lương thấp, tăng lương cực kì chậm, những người giỏi thường rời cty sớm nên trong team đa phần là amateur, code không có coding convention, góp ý thì bị leam la
Mang tiếng là làm theo Scrum mà không hề có thời gian rõ ràng
Bóc lột nhân viên, không còn thời gian về nhà học tập thêm
OT không lương, gần như một tháng gần 15 ngày phải làm 10h",,,,
SA-014,"Không như mong đợi . Công ty branch name lớn, nhiều courses training về technical skils và sofl skills. Môi trường làm việc tốt, bảo hiểm full lương, benefit OK.
Chưa OT nhưng nghe đồng nghiệp nói chế độ cũng OK, trả tiền và voucher ăn uống. . Một số ít leader không tạo điều kiện để team member phát triển (dìm hàng). Line manager và PM không bám sát member của mình trong project, toàn bộ feedback đều lấy từ ý kiến chủ quan của leader. Bàn làm việc nhỏ, không có vách ngăn.
Một công ty hằng ao ước từ thời sinh viên, nhưng khi vào rồi mới cảm thấy bất mãn vô cùng. Hy vọng đây chỉ là số ít.",,,,
SA-015,"DTL.Z15 phù hợp cho những bạn ko học CNTT, ko improve technical. . Thoải mái, team vui, Thoải mái, team vui, Thoải mái, team vui, Thoải mái, team vui, . Sếp tính tình còn rất châu Á, cần thoát á luận. Dự án toàn kiến thức domain, không cải thiện được technical.
OT nhiều ảnh hưởng không tốt đến sức khoẻ, tinh thần và cuộc sống.",,,,
SA-016,"Môi trường tốt, vui vẻ, tự hoc tự rèn, nên suy nghĩ kĩ. . Cũng cấp máy móc hiện đại, support nhiệt tình. Thời gian thoải mái.
Chi trả đủ, sòng phẳng, ít khi phải OT trừ khi được request trực tiếp từ khách. . Nên suy nghĩ kĩ nếu có tính tự học cao thì nên vào để rèn luyện do có time nhiều chứ công việc không có gì phức tạp cả.",,,,
SA-017,"Tech lead tâm lý, công ty có nhiều tài năng . Lương intern cao so với mặt bằng chung, còn lương chính thức thì chưa biết.
Tech lead tâm lý. Công ty có nhiều tài năng. Giờ giấc thoải mái.
Anh em vui vẻ hòa đồng, nhiệt tình giúp đỡ người mới.
Hầu như hội gì cũng có, kể cả hội game thủ. Thức ăn vặt khá đầy đủ.
Họp review năng lực và góp ý khá thường xuyên.
Không bắt buộc OT, có thể ở lại muộn nếu thích, giờ giấc linh hoạt. . Policy hơi gắt, chặn cả web game vào giờ nghỉ trưa.
Ít giao tiếp tiếng Anh. Văn hóa rựu bia cần được xem lại.
Case máy để dưới đất cắm dây tai nghe không tới khá là khó chịu.
Lúc mình với vào làm máy khá xida, ram có 4 hoặc 8gb (chắc do chế độ intern chỉ đc có thế) chạy IntellJ bao lắc. 1 ngày die 2 lần, 2 tuần thay ram 1 lần.
Chừng nào nghĩ ra thêm sẽ bổ sung.",,,,
SA-018,"Môi trường làm việc tốt . Nhân viên mới được cấp máy tính xịn tùy team (Mac Pro 2019 hay máy Win)
Môi trường mọi người hòa đồng, luôn tạo cho nhân viên cảm giác mình sẽ grow được
Có tổ chức workshop: chuyên môn hay giải trí đều có
Giờ giấc làm việc thoải mái
Tùy team, theo đợt release sẽ có OT, nếu OT short term sẽ không có tiền OT (tầm 1 tuần đổ lại) và có free ăn tối. OT lâu hơn thì mới có tiền . Làm Outsource quan trọng ở ông Master, nếu gặp team master thương team thì đảm bảo sống rất sung sướng, còn master thương client thì sure kèo OT suốt ngày, giao task cuối tuần đầu tuần xong.",,,,
SA-019,"1 cty IT phù hợp với nhiều độ tuổi . - Giờ giấc lv thoải mái, có thể về sớm lúc 4h để đón con
- Môi trường lv nhiều người trẻ, ko bị gò bó
- Được training nhiều, tham gia nhiều cuộc thi nâng cao skill
- Có cơ hội được đi công tác nước ngoài
OT theo luật nên khá ok. Đăng ký OT thoải mái dựa trên plan. . - Cty IT nên hơi ít con gái, cần tuyển thêm các bạn nữ để các ae độc thân có cơ hội thoát ế
- Cần tăng đãi ngộ về thâm niên
- Nơi lv hơi xa trung tâm
- Cty nên cho đi du lịch xa thay vì các địa điểm xung quanh HN",,,,
SA-020,"Nơi học hỏi tốt, nhưng không phải môi trường phát triển lâu dài . - Yêu cầu đầu vào dễ, phù hợp cho những bạn mới ra trường cần tìm nơi học việc
- Chính sách phúc lợi tốt . - Các chính sách phúc lợi, lương bổng dần bị cắt
- Việc thi hành chính sách mập mờ, có khi luật ra văn bản sau nhưng đã áp dụng trước
- Tính thưởng, OT không rõ ràng
- Có hiện tượng sếp cướp công lính",,,,
SA-021,"Sếp tốt quan tâm nhân viên . Văn phòng trên Hòa Lạc đẹp, hơi xa thành phố, không khí thoáng mát.
Dự án gấp rút phải OT nhiều bù lại được trả lương khi OT. . Lương thấp, tăng lương nhỏ giọt, thích hợp với các bạn mới ra trường muốn tăng nhanh skill cứng
Lương OT không đúng với thời gian thực nhân viên bỏ ra,",,,,
SA-022,"Công ty tốt nhất mà mình từng làm cho đến thời điểm hiện tại . Lương thưởng ổn, chính sách OT và chế độ làm việc Hybrid.
Sếp và đồng nghiệp feedback tận tình, luôn tạo điều kiện cho bạn phát triển cả về chuyên môn và softskill
Happy hour mỗi tuần, muốn tăng cân hãy siêng tham gia hoạt động này nè.
Không OT nhiều, nhưng nếu có thì trả lương vào cuối tháng . Vấn đề muôn thuở là thang máy, nhưng cũng không ảnh hưởng lớn đến mình.",,,,
SA-023,"Lương thấp, Sếp tốt . Giờ giấy thoải mái.
Làm việc không gò bó.
Sếp thoải mái. . Lương thấp so với các công ty khác cùng ngành.
Đãi ngộ kém.
Lương rất thấp so với các công ty khác cùng ngành.",,,,
SA-024,"ITMB nơi làm việc tuyệt vời mà tôi đã mất rất nhiều thời gian để tìm được . Văn Hóa Công Ty: Tôi rất hài lòng với văn hóa công ty, nơi mà sự đoàn kết và hỗ trợ lẫn nhau được đặt lên hàng đầu. Công ty khuyến khích sự sáng tạo và đề cao ý kiến đóng góp từ mọi nhân viên.
Cơ Hội Phát Triển: Tôi cảm thấy hạnh phúc với cơ hội phát triển nghề nghiệp mà công ty cung cấp. Có các khóa đào tạo, chương trình mentoring và cơ hội thăng tiến nghề nghiệp rõ ràng, giúp tôi phát triển kỹ năng và tiềm năng của mình.
Môi Trường làm việc thoải mái: một không gian làm việc tích cực và sáng tạo
Chính sách OT tuyệt vời, hỗ trợ tối đa người lao động . Mình bây giờ TOP 3 về lợi nhuận, TOP đầu về CNTT, chuyển đổi số rồi mong các sếp để ý tăng lương, tăng thưởng, tăng chế độ đãi ngộ cho chúng em :P",,,,
SA-025,"Công ty phù hợp cho người mới ra trường . - Sếp tốt
- Đồng nghiệp thân thiện
- Mình làm việc với team ngoài Đà Nẵng thì thấy mọi người khá giỏi và nhiệt tình
- OT được trả lương đầy đủ và đúng hạn
- Thời gian tính OT hợp lý . - Bộ phận IT Support hỗ trợ quá chậm
- Máy công ty khá yếu nên thường xuyên giật lag",,,,
SA-026,"Môi trường tốt cho các bạn mới ra trường . - Nhân viên chính thức được cấp laptop.
- Sếp khá thân thiện.
- Đội ngũ nhân viên đa số là trẻ.
- Có chế độ thực tập và cộng tác viên cho sinh viên.
- Giờ giấc thoải mái, có thể work at home. . - Đóng bảo hiểm theo lương cơ bản.
- Làm nhiều dự án Viettel nên các nhân viên nhanh chán và bỏ công ty.
OT chỉ được cộng thêm ngày phép, 1 ngày OT = 1 ngày phép",,,,
SA-027,"Công ty có chế độ đãi ngộ cực kém . các thành viên trong team vui vẻ, giúp đỡ nhau trong cả công việc lẫn cuộc sống . Các sếp luôn ép tiến độ dự án, lương chậm, thưởng ghi trong thư mời nhận việc rất nhiều nhưng đến lúc nhận chỉ có vài đồng. Có nguy cơ bị trừ lương bất cứ lúc nào. Có 1 số thành phần hay chơi game rồi hú hét vào giờ ngủ trưa.
OT ko được hưởng lương.............................................................................",,,,
SA-028,"Môi trường trẻ trung, Sếp và đồng nghiệp đều hoà đồng, hỗ trợ giúp đỡ nhau. . Môi trường phát triển, up salary thường xuyên 1 năm 2 lần, nhiều chế độ đãi ngộ như du lịch, khám sức khoẻ, teambuilding, chế độ chị em phụ nữ, StockOption...Mọi người đều hoà đồng thân thiện, không phân biệt người mới hay cũ và luôn giúp đỡ lẫn nhau.
Chế độ OT rõ ràng, nhưng môi trường công ty rất ít khi phải OT, và mình chưa từng OT bao giờ nha . Thêm nhiều lớp học đào tạo hơn nữa. Để nhân viên mới hoặc nhân viên cũ đều có thể tham gia học hỏi, phát triển.",,,,
SA-029,"chế độ tốt, cơ hội học hỏi có nhưng ít . Văn phòng đẹp sang xịn mịn, thu nhập ok, chế độ phúc lợi tốt
rất ít và rất hiếm khi OT, OT là tự nguyện hiến máu . Việc ít, quy trình kém, nhiều người chuyên môn chưa cao",,,,
SA-030,"Tốt cho fresher và senior . Môi trường ổn, thời gian làm việc thoải mái, lương khá cao
Môi trường ổn, thời gian làm việc thoải mái, lương khá cao . Lương tăng chậm, nếu làm dự án Nhật thì hơi gò bó",,,,
SA-031,"Được cấp high-end Macbook Pro . Không gian văn phòng đẹp, trang thiết bị đầy đủ phục vụ cho nhu cầu công việc.
Được cấp high-end macbook pro
OT là optional, nếu có OT thì sẽ được phúc lợi xứng đáng . Bãi giữ xe cách xa công ty. Tuy nhiên cũng là cơ hội để vận động sau 1 ngày làm việc",,,,
SA-032,"Sếp ổn, dự án hay . Sếp ổn, dự án hay, nhiều Senior hỗ trợ nhiệt tình, có điều văn phòng hơi chật và nhỏ
OT có trả lương, nghỉ bù, hiếm khi phải làm việc OT . Không có gì cần cải thiện, văn phòng nên mở rộng thêm",,,,
SA-033,"Thoải mái, nhưng không học hỏi được nhiều . - Thời gian linh động: Ngày cứ 8 tiếng là đc, 1 tháng có 5 ngày được làm 6 tiếng & 3 ngày wfh.
- Đồng nghiệp ổn.
- Có nhiều hoạt động bên lề, văn phòng đẹp, khá rộng.
Tùy dự án sẽ có OT. OT được trả theo luật, cần đăng ký trước. . - Tùy dự án mới biết có học hỏi được nhiều không. Có thể dính dự án maintain, hoặc dự án phải đá sang làm trái role/ JD.
- KHÔNG có thưởng lễ, tháng lương thứ 13, chỉ có thưởng hiệu suất.",,,,
SA-034,"Lương hấp dẫn, Công nghệ mới, Sản phẩm chưa thực sự đột phá . Công nghệ mới, sếp công nghệ có lắng nghe ý kiến nhân viên.
Nhiều khi OT không có kế hoạch. OMC sẽ có tình trạng bên sản phẩm có nhiều tiếng nói hơn . Hay phải chạy theo sản phẩm, nhiều task đột ngột xuất hiện không có trong plan, buộc phải OT. Cần có plan theo scrum sprint rõ ràng, hạn chế thêm task phát sinh không kế hoạch.",,,,
SA-035,"no OT, good benefit, flexible time for working . no OT, having good benefit for employees, flexible time
it make me feel comfortable when working in here, . everything is good now but I think company should to allow WFH for fresher some day a month",,,,
SA-036,"Sếp tốt, văn phòng đẹp . Văn phòng đẹp
Nhiều chương trình vui chơi giải trí
Nhiều cái để học
Leader giỏi
Làm ít nghỉ nhiều
Được trả tiền OT đầy đủ nhưng sếp k khuyến khích OT . Họp hành quá nhiều, suốt ngày báo cáo, giải trình
Làm việc với domain automotive nên khá đặc thù, sau này xin việc khá khoai
Lương tăng hàng năm khá chậm nên nhiều người nghỉ
Suốt ngày phải thuyết trình, seminar gây mất nhiều thời gian.",,,,
SA-037,"Không nên Intern, chỉ nên apply fresher . Văn phòng đẹp, nhiều con gái, có trụ sở riêng nên thoải mái hơn trong việc giữ xe cộ. . Phụ trách Intern rất tuỳ người. Đến đó thì đừng bao giờ là Intern, kể cả là fresher, cũng là cần phải cân nhắc, ko ít người rời đó vì lương thưởng ko tốt",,,,
SA-038,"Môi trường thân thiện, có nhiều hoạt động phúc lợi nội bộ . Đồng nghiệp thân thiện, các bạn trẻ năng lượng, nhiệt huyết dồi dào làm cho không khí làm việc luôn vui tươi.
Việc thăng tiến rất rõ ràng, có từng mốc và điểm thành tích túy lũy qua từng năm đủ điều kiện sẽ được thăng chức
Công ty đề cao Work-life Balance, không phải mang việc về nhà làm hoặc không phải OT quá độ
Chính sách OT rõ ràng, ít khi phải OT nhiều nếu có thì sẽ được trả tiền . Công ty sẽ sớm phát triển hơn nữa ở khu vực miền nam",,,,
SA-039,"Review chung . Môi trường trẻ trung, năng động phù hợp với sv mới ra trường
Trả tiền OT rõ ràng, đầy đủ, quy 1 phần ra ngày nghỉ bù . Phúc lợi ngày càng cắt giảm, ko nên vô BU nhật, workload nặng",,,,
SA-040,"Môi trường làm việc đáng mơ ước . - Văn hóa làm việc khá thoải mái đóng góp ý kiến, luôn lắng nghe và mong muốn sự đồng thuận trong team.
- Môi trường làm việc luôn hướng tới con người, worklife-balance, không chấm công/chấm vân tay. Văn phòng luôn gọn gàng sạch sẽ, hoa quả, snack, hoa tươi luôn đầy đủ, bát đũa cốc chén lúc nào cũng thơm tho.
- Từ những ngày đầu vào công ty thì mình nghĩ mình sẽ làm lâu dài vì mình thấy được sự quan tâm từ đồng nghiệp nước ngoài (Thụy Điển), luôn hỏi han và hướng mình phát triển theo điểm mạnh của mình và đồng hành cùng sự phát triển của công ty. Các bạn Thụy Điển nói tiếng anh khá hay, giao tiếp rất cởi mở và vui tính. Công ty có bussiness trip cho nhân viên sang trụ sở chính và còn mở lớp học tiếng anh cho nhân viên nâng cao trình độ.
- Đặc biệt ấn tượng về trang thiết bị được cấp: 2 màn hình dell 32 inch, 1 bộ chuột bàn phím bluetooth, headphone, laptop Lenovo, bàn flex-spot.
- Trong Park thường tổ chức các hoạt động outing ý nghĩa, và có tea-break thứ 6 hàng tuần để kết nối thành viên. Có rất nhiều câu lạc bộ thể thao cho mọi người lựa chọn: Bơi, gym, ...
- Đội ngũ hỗ trợ rất thân thiện và nhiệt tình.
- Trong park có rất nhiều công ty khác nhau nhưng mọi người rất thân thiện, lịch sự, sẵn sàng giúp đỡ.
- Theo mình thấy thì mọi người được tuyển vào hầu như trình độ tiếng anh khá tốt, có năng lực chuyên môn tốt, chuyên nghiệp.
Công việc thường được hoàn thành trong giờ hành chính, rất hiếm khi phải OT. Các sếp bắc Âu không khuyến khích làm ngoài giờ. . Nếu được thì mình mong mỗi phòng làm việc được rộng hơn chút để có thể bày thêm nhiều cây xanh trong phòng :)",,,,
SA-041,"quy trình rườm rà phức tạp, phong cách công ty gia đình là chính . văn phòng đẹp, hiện đại và nhiều tiện nghi.
có các chương trình phúc lợi tương đối tốt so với mặt bằng chung, ví dụ chế độ ngày nghỉ phép trong năm, chế độ bảo hiểm (nhưng phân theo từng cấp bậc nhân viên), mức lương khá cao so với thị trường ngân hàng. . quy trình rườm rà, để xin được một vấn đề tưởng chừng như rất đơn giản (ví dụ mua 1 máy tính xách tay) phải trình qua rất nhiều cấp có thẩm quyền, đến khi mua sắm vẫn bị kế toán hỏi lên hỏi xuống.
Nhiều thủ tục khắt khe không cần thiết khiến cho hiệu quả công việc bị giảm đi.
Một số nhân viên làm DV CSKH bị yêu cầu làm thêm giờ/ làm vào những ngày nghỉ nhưng không được tính OT.
Quy trình xin duyệt OT cũng phức tạp",,,,
SA-042,"Nice place to start job career . Good environment, nice co-woker, use variable technical framework to work. . Have to OT too much, employee have different level. Not have specific plan to work, then always have to OT",,,,
SA-043,"Cty khá ổn với level Senior, phù hợp với sự ổn định . - Văn phòng luôn sạch sẽ , gọn gàng, vị trí tốt, có snack và bánh trái đầy đủ
- Nhân sự có thái độ tốt và chuyên nghiệp so với mặt bằng chung, nhưng đôi lúc có thái độ lồi lõm với các nhân viên nhỏ tuổi hơn (theo 1 số tin không chính thức)
- Nhân viên ở VN vui vẻ, hòa đồng, thân thiện
- Công nghệ khá hot và hấp dẫn làm về data protection
Team Dev có những người rất nhiều kinh nghiệm nên code skill + giải quyết vấn đề được level up. . Nhược điểm:
1) Văn hóa:
- Công ty chưa có văn hóa, cách tổ chức và thực thi vẫn theo kiểu của 1 công ty gia đình, trên nói dưới nghe và thực hiện : sếp lớn là người Mỹ có cả con trai và con gái đều làm ở cty, vợ làm ở 1 cty khác lấy danh nghĩa văn phong đại diện để trốn thuế, lách luật
- Có sự phân biệt đối xử nhân viên ở VN, thương nghe 1 phía ở bên Kiev team, bao gồm các nhân viên ở tầng quản lý cấp middle và high, nhân viên phía VN thường phải luôn làm theo, các cuộc meeting chỉ mang tính chất thủ tục.
- Có nhiều trường hợp nhân viên đã nghỉ vì bị chèn ép: 1 trường hợp ơ team PM vì bị con gái sếp quy trách nhiệm vô lý, 1 trường hợp gần nhất là 1 manager cũng đã xin nghỉ vì phải extend probation thêm 6 tháng vì lý do là các sếp chưa hài lòng, đây là sự phân biệt đối xử như mình nói ở trên
- Team PM đa phần được giao nhiệm vụ copy công nghệ của cty đối thủ và bị push làm theo, không giống như tầm công ty đã quảng cáo
2) Quản lý
- Tầng quản lý có tư duy nghèo nàn, ko có những chính sách để nhân viên và cty phát triển, luôn đặt lợi nhuận lên trên hết nhưng miếng bánh đó chia cho nhân viên rất ít, rất không phù hợp với kiểu cty product và đi đường dài
- 1 số quản lý bên Dev có kinh nghiệm tốt nhưng có thái độ phân biệt với nhân viên bên VN cho tất cả các bộ phận, quản lý bên QA và support + product thì kinh nghiệm + kiến thức không nhiều trong đó có con gái sếp , có thể vấn đề là nằm ở đây
3) Thời gian:
- Thời gian thoái mái nhưng bắt buộc làm 8 tiếng/ngày và 40 tiếng / tuần, có hệ thống kiểm tra thời gian và hoạt động trên máy của mỗi nhân viên , tính theo từng phút, có thể chụp màn hình và kiếm tra bất cứ lúc nào, nếu không đủ thời gian bạn sẽ bị cảnh báo và giải trình, nói chung nếu ai có làm xong công việc thì cũng phải ngồi đủ 8 tiếng nhìn màn hình, ko youtube, không tin tức, ko nên vô những trang web khác ngoài web của cty, nếu ko bạn phải giải thích sau khi bị chụp màn hình
- Có những cuôc hop ngoài giờ hành chính, có khi 10pm hoặc 9pm, hồi xưa chỉ có 1 cuoc hop toàn cty, bấy giờ có các cuoc hop khác của các team, không tính tiền OT hay bù thời gian vì đây là giờ đẹp bên Kiev ---> đây là sự phân biet với người VNese như mình đã đề cập
- Vì có những vấn đề bên Kiev nên toàn bộ team QA đã chuyen qua VN với lượng công việc tay chân rất lớn nên thơi gian làm việc luôn bị push cao, không có thời gian cũng như tinh thân phát triển bản thân, có thể đây là cách để cty có thể bào sức từng lứa nhân viên theo từng năm, sau đó sẽ tuyển lại, đặc biệt team QA do mô hình team còn trẻ và ""chiếu mới!!""
- Không khí làm việc ở cty rất căng thẳng và buồn chán, đa phần chỉ muốn làm đủ 8 tiếng cho đúng thủ tục rồi về, kiếm offer tốt hơn để thoát khỏi cty này (đây là nguồn tin không chính thức từ những người còn làm ở cty)
4) Phúc lợị
- Lương khá ổn so với mặt bằng chung, thưởng cố định 200 – 300 USD fix cứng hằng năm chư không theo tháng lương hay performance
- Không đóng full bảo hiểm nên trả lương 2 đợt hằng tháng
- Có bảo hiểm riêng và khám sức khỏe hằng năm
- Không trả paid leave nếu có dư phép
5) Công nghệ:
- Công nghệ khá ổn so với thị trường VN, có làm trên AWS và các nền tảng ảo hóa, các hợp để bảo vệ dự liệu
- Quy trình CI/CD còn khá thủ công, chưa áp dụng được các new tech như GIT, GIT LAB..docker, Kubenetes để deploy.., mô hinh waterfall, khá cũ kĩ
* Đây là những thông tin và đánh giá từ mình và từ các nhóm không chính thức ở cty, mình đã từng làm ở đây trong 1 khoảng thời gian và chịu ko nổi với môi trường và văn hóa cũng như benefit nên cũng đã nghỉ. Mọi người trước khi vô nên hỏi kĩ và cân nhắc những vấn đề minh đã nêu để đỡ mất thời gian 2 bên, mình nghĩ sẽ phù hợp với senior level và sinh viên mới ra trường, nếu muốn phát triển hơn thì cty này hoàn toàn ko phù hợp
căng thẳng và áp lực khi phải report, từ thứ 2 đến thứ 6 đã bị push rất nhiều rồi",,,,
SA-044,"Bình thường không có gì . Môi trường tốt rộng rãi thoáng mát, văn phòng đẹp chuyên nghiệp . Khâu tuyển dụng không , báo 1 tuần có kết quả mà đợi hoài ko thấy đâu",,,,
SA-045,"Môi trường rất tốt . Chế độ làm việc hợp lí, lương thưởng, review lương 6 tháng lần
OT hợp lí có lương đàng hoàng, rõ ràng cho ae yên tâm . Hiện tại thì thấy công ty rất oke rồi ko cần thay đổi gì",,,,
SA-046,"Môi trường . Học hỏi được nhiều nhưng mỗi tội công ty chuyên nghiệp, ai cũng vui tính nhưng nghiêm khắc
Môi trường làm việc chất lượng, vui vẻ, thoải mái, tự do . Đề nghị công ty tuyển nhiều nhân viên nữ, các bạn nam đi làm ăn mặc chỉn chu đẹp zai hơn nhé",,,,
SA-047,"Môi trường làm việc Open . + Văn phòng deco đẹp
+ Có máy Cafe xay hạt
+ Hoa quả hàng ngày
+ Hỗ trợ chí phí cho nhân viên tham gia thể thao: bơi, gym...
+ Thời gian làm việc flexible. ko OT, ko đi làm t7
Không phải OT, không phải đi làm thứ 7, thời gian làm việc flexible . Chỉ có lương net hàng tháng + tháng 13 và 1 khoản thưởng nhỏ những dịp đặt biệt: Sinh nhật, 1/5...",,,,
SA-048,"Good company and friendly colleagues. . The first impression is the way the company welcomes new employees with a fairly complete welcome kit and a lunch with other team members. At work, it depends on the team, but the current team is quite nice, not toxic, and importantly, the project is quite suitable for my orientation.
WFH policy as well as company policy also aim to work hard play hard. Log work is not too strict but most people are self-disciplined and comply well.
A reasonable OT policy, Although OT is rarely required, additional pay is provided whenever OT is necessary . Improving inter-team cohesion is necessary, as currently, members only really know the team involved in their specific project.",,,,
SA-049,"Môi trường tốt, mức lương ổn . Mức lương cũng ổn so với mặt bằng chung thị trường
Văn phòng rộng rãi, view đẹp
Có nhiều hoạt động ăn uống trong công ty
Công ty có tên tuổi ở Nhật
Công việc ổn định, khá nhàn
Work-life balance
Ít khi phải OT, có chính sách OT rõ ràng, minh bạch . Không có chính sách Hyrbrid hay Remote
Công ty khá rườm rà về quy trình thủ tục, cũng như giờ giấc nghiêm ngặt
Thiếu sự challenge trong công việc
Môi trường làm việc khá nghiêm túc, nên hơi chán
Dự án chưa có gì đặc sắc, công nghệ hơi đặc thù",,,,
SA-050,"Môi trường làm việc và phát triển bản thân tốt . Học hỏi được nhiều công nghệ mới, cùng nhiều dự án hay để học tập
Chế độ OT lương thưởng rõ ràng và hấp dẫn, hỗ trợ nhân viên nhiều thứ . Phải đi làm sáng thứ 7, hi vọng công ty có thể hỗ trợ WFH",,,,
SA-051,"Môi trường ổn để thử sức min từ 3 năm trở lên . - Văn phòng xịn, không phải tốt nhất nhưng cảm thấy Sếp có tâm trong việc design office
- Mọi người vui vẻ hoà đồng
- Đợt này có thêm nhiều hoạt động để gắn kết
mọi người
Team mình cực ít OT và thấy các team khác cũng vậy . - Paperwork nên nhanh hơn, đợi chờ khá lâu, mặc dù biết các bạn Admin khá nhiều task nhưng nên cải thiện",,,,
SA-052,"Công ty outsource lớn nhất về mọi mặt tại VN . Tuỳ theo dự án, bạn có thể phát triển rất tốt hoặc chán đến mức không muốn làm nữa . Môi trường quá chính trị, không phân minh thưởng phạt
Chính sách OT không rõ ràng. Tuy công ty có quy định nhưng thực hiện lại tuỳ thuộc vào PM.",,,,
